Gender,NrOfDependants,Education,ExistingLiabilities,HomeOwnershipType,default
1,0,4,5,1,FALSE
0,0,5,6,1,FALSE
1,1,4,2,9,FALSE
0,0,3,9,3,FALSE
0,0,4,7,3,TRUE
1,2,2,3,1,FALSE
1,1,5,5,7,FALSE
0,0,5,4,4,FALSE
0,0,4,3,2,TRUE
0,0,5,5,1,TRUE
1,1,5,2,1,FALSE
0,1,3,9,1,TRUE
0,2,4,7,4,FALSE
1,1,4,6,7,FALSE
0,0,3,4,4,FALSE
1,1,4,3,3,TRUE
1,4,3,2,5,FALSE
0,1,4,3,1,FALSE
0,0,4,6,8,FALSE
0,1,4,8,8,FALSE
1,2,3,14,5,FALSE
1,1,5,9,1,FALSE
0,0,4,2,1,FALSE
1,1,5,4,4,FALSE
1,0,4,3,8,TRUE
0,0,5,12,8,FALSE
0,1,4,3,1,FALSE
1,0,3,3,3,FALSE
1,0,5,6,1,FALSE
0,1,4,7,9,FALSE
0,0,5,5,4,TRUE
0,2,4,8,8,FALSE
0,0,4,2,2,TRUE
1,1,4,4,1,FALSE
1,1,4,3,1,TRUE
0,1,2,9,8,FALSE
0,1,5,4,1,TRUE
1,0,5,4,1,TRUE
1,2,5,9,7,FALSE
0,0,4,1,2,FALSE
1,0,4,5,7,TRUE
0,0,4,2,1,FALSE
1,1,5,8,2,TRUE
0,0,4,6,7,FALSE
1,2,3,6,9,FALSE
0,0,4,5,8,FALSE
1,2,4,4,1,TRUE
1,2,5,11,4,TRUE
0,0,4,1,2,FALSE
0,3,3,9,1,FALSE
0,0,5,2,3,FALSE
0,0,3,5,1,TRUE
0,0,5,6,1,TRUE
0,0,4,5,2,FALSE
0,0,3,1,6,TRUE
0,0,3,7,4,FALSE
0,0,4,4,3,TRUE
0,1,4,4,9,FALSE
1,1,5,1,6,FALSE
1,0,4,2,1,TRUE
0,2,3,3,1,FALSE
1,0,4,3,6,TRUE
1,0,3,8,4,TRUE
0,0,4,2,6,FALSE
0,1,4,6,7,FALSE
1,1,3,4,8,TRUE
0,0,5,5,2,TRUE
0,0,5,2,3,FALSE
1,1,4,8,3,FALSE
1,0,4,4,1,FALSE
1,0,3,4,5,FALSE
1,0,4,2,1,TRUE
0,1,5,6,1,FALSE
1,0,4,4,1,FALSE
1,1,3,2,1,FALSE
1,0,4,10,2,FALSE
1,1,5,1,2,FALSE
0,1,3,5,4,TRUE
0,0,3,5,2,FALSE
0,0,3,6,4,TRUE
0,0,3,3,1,FALSE
1,0,3,1,4,FALSE
1,0,4,12,1,TRUE
0,0,5,4,5,TRUE
0,1,2,2,1,TRUE
0,1,5,3,1,FALSE
1,0,4,2,2,TRUE
1,0,4,4,2,FALSE
0,0,4,2,1,TRUE
0,0,2,10,1,TRUE
0,0,5,10,1,TRUE
1,2,2,8,4,FALSE
1,0,4,6,1,TRUE
0,0,3,4,7,FALSE
0,0,5,5,8,TRUE
1,2,3,6,1,FALSE
0,0,4,5,1,TRUE
1,0,3,2,1,FALSE
1,1,3,15,5,TRUE
0,0,3,3,4,FALSE
0,0,3,6,4,FALSE
1,0,4,16,7,FALSE
1,0,4,8,1,TRUE
1,0,5,4,1,FALSE
1,0,4,7,1,FALSE
0,1,3,8,1,FALSE
0,2,2,4,1,FALSE
0,0,5,2,3,FALSE
1,0,3,7,2,TRUE
1,0,2,2,1,FALSE
0,0,5,3,1,TRUE
0,0,3,3,9,FALSE
1,1,5,5,1,FALSE
0,0,3,13,1,FALSE
1,0,2,6,4,FALSE
0,0,4,4,2,TRUE
1,2,3,5,4,TRUE
0,0,2,1,2,TRUE
0,3,2,6,2,FALSE
1,0,4,11,1,FALSE
1,0,4,3,3,FALSE
1,1,4,5,8,FALSE
0,1,4,8,7,FALSE
1,0,3,2,4,FALSE
1,0,5,5,8,FALSE
0,0,4,7,1,FALSE
1,1,4,3,2,FALSE
1,2,2,2,1,FALSE
1,2,4,2,8,TRUE
0,1,5,9,8,FALSE
0,0,4,5,2,FALSE
0,0,5,2,4,FALSE
1,0,4,4,1,TRUE
1,0,4,2,1,FALSE
0,0,4,3,9,FALSE
1,4,5,4,7,TRUE
1,0,3,6,3,FALSE
0,3,4,10,1,TRUE
1,0,5,5,1,FALSE
0,2,5,14,8,TRUE
0,0,4,2,3,FALSE
1,0,4,4,2,FALSE
0,0,4,4,8,FALSE
0,0,5,6,3,TRUE
0,0,3,14,2,TRUE
0,0,5,6,1,FALSE
0,1,4,2,1,FALSE
0,1,4,4,8,FALSE
1,1,4,3,2,FALSE
1,0,3,5,3,FALSE
2,0,5,3,4,FALSE
1,2,3,10,1,TRUE
0,0,5,5,2,FALSE
1,0,4,8,3,FALSE
1,0,4,9,1,FALSE
0,0,4,5,1,FALSE
0,0,4,6,4,FALSE
1,1,2,8,3,FALSE
1,1,2,4,2,FALSE
0,1,3,5,3,TRUE
0,0,5,7,2,FALSE
1,2,5,7,4,FALSE
0,0,2,3,1,FALSE
1,0,4,2,1,FALSE
0,0,3,7,2,FALSE
1,0,5,8,7,FALSE
1,0,4,7,4,TRUE
0,1,3,3,1,TRUE
0,0,5,4,2,FALSE
0,0,3,5,1,FALSE
0,0,5,2,1,FALSE
1,0,4,2,1,FALSE
1,1,4,7,8,TRUE
0,2,4,5,1,TRUE
1,0,3,4,2,FALSE
1,0,4,3,1,FALSE
1,1,3,1,2,FALSE
1,0,5,10,3,TRUE
1,2,4,8,1,FALSE
1,0,3,6,8,FALSE
0,0,4,8,2,TRUE
1,1,5,1,1,FALSE
1,0,3,2,1,TRUE
1,0,4,4,1,TRUE
1,0,3,11,8,TRUE
1,1,4,3,1,TRUE
0,1,4,3,1,TRUE
0,1,4,6,4,FALSE
0,0,4,3,6,FALSE
0,0,3,5,2,FALSE
1,0,5,9,1,FALSE
0,0,3,9,2,FALSE
1,1,4,2,1,FALSE
0,1,3,2,1,FALSE
0,0,2,5,2,FALSE
1,2,2,12,9,FALSE
0,0,5,5,1,TRUE
1,1,5,6,1,FALSE
0,0,3,4,1,TRUE
0,1,4,4,1,FALSE
1,1,4,2,2,FALSE
1,2,4,5,8,FALSE
1,1,5,2,1,FALSE
0,1,5,3,1,TRUE
1,0,4,2,1,TRUE
1,2,5,6,7,FALSE
1,1,2,4,1,FALSE
0,1,3,3,4,TRUE
1,0,4,1,2,TRUE
0,2,4,6,4,TRUE
0,0,3,12,1,TRUE
0,0,3,2,4,FALSE
1,1,5,5,1,FALSE
0,0,5,11,7,TRUE
0,0,3,7,1,TRUE
0,0,5,4,1,FALSE
1,1,5,4,1,FALSE
0,1,4,8,8,FALSE
1,0,4,4,4,TRUE
0,0,4,2,2,FALSE
0,0,4,6,1,FALSE
0,0,3,7,3,TRUE
0,1,4,5,3,FALSE
1,1,5,6,3,FALSE
0,0,4,2,1,TRUE
0,1,5,9,1,FALSE
1,2,4,4,1,FALSE
0,1,3,4,8,FALSE
0,0,3,2,1,FALSE
1,0,2,2,7,FALSE
1,1,3,9,8,TRUE
1,3,5,2,1,FALSE
0,1,5,5,1,FALSE
0,1,3,4,1,TRUE
0,1,5,5,4,FALSE
0,1,2,9,2,TRUE
0,2,2,5,1,TRUE
1,1,2,5,1,TRUE
1,0,2,6,1,FALSE
1,1,4,4,1,FALSE
0,0,4,6,2,FALSE
1,0,2,4,4,FALSE
1,2,4,1,2,FALSE
0,2,2,7,8,FALSE
0,1,4,1,1,FALSE
1,1,4,3,1,FALSE
0,1,5,3,6,FALSE
0,0,4,4,1,FALSE
1,0,5,3,3,TRUE
1,1,4,6,2,TRUE
1,1,4,10,3,TRUE
0,1,4,7,7,TRUE
1,0,4,9,1,FALSE
1,0,4,8,3,FALSE
0,3,4,10,1,TRUE
1,0,5,5,7,FALSE
1,1,4,4,1,FALSE
0,0,2,6,2,FALSE
0,0,4,7,7,TRUE
0,3,4,8,2,FALSE
1,0,5,9,6,TRUE
0,2,4,6,2,TRUE
0,1,5,10,7,FALSE
0,2,4,6,8,FALSE
0,0,4,7,3,FALSE
1,1,4,7,1,FALSE
1,0,4,4,1,TRUE
1,1,5,13,2,FALSE
0,0,5,11,8,FALSE
1,0,4,9,1,FALSE
0,1,4,3,7,FALSE
1,2,2,4,1,FALSE
1,0,4,9,1,FALSE
0,0,5,8,8,FALSE
1,0,3,6,1,FALSE
1,4,2,9,1,FALSE
0,0,2,6,3,FALSE
1,2,4,6,4,FALSE
0,2,4,11,7,TRUE
1,2,2,5,1,FALSE
1,0,5,9,1,TRUE
0,1,4,17,8,TRUE
1,0,4,9,3,FALSE
0,0,4,6,8,FALSE
0,1,4,8,1,TRUE
0,0,4,9,1,FALSE
0,0,4,9,3,FALSE
1,0,4,1,1,FALSE
1,1,5,8,1,TRUE
1,0,5,9,2,TRUE
0,1,4,8,2,FALSE
1,1,2,14,3,FALSE
0,0,4,5,3,FALSE
1,0,5,8,9,FALSE
1,0,5,8,8,FALSE
0,2,4,12,8,FALSE
0,0,4,10,1,TRUE
1,0,5,18,2,FALSE
1,0,2,7,6,FALSE
1,0,3,3,3,FALSE
1,1,5,8,3,TRUE
1,2,4,11,1,FALSE
1,2,5,11,1,FALSE
1,1,4,14,8,FALSE
1,1,4,13,1,TRUE
1,1,5,12,1,TRUE
1,1,5,16,8,TRUE
1,3,5,5,1,TRUE
0,0,3,9,6,TRUE
1,1,4,11,1,FALSE
1,1,4,7,8,FALSE
1,2,5,10,1,FALSE
1,1,5,7,7,TRUE
1,4,4,11,1,TRUE
1,1,4,4,7,FALSE
0,0,4,11,3,TRUE
0,0,4,17,6,TRUE
1,2,4,12,2,FALSE
0,2,4,5,4,FALSE
0,2,4,2,1,FALSE
0,0,5,7,8,FALSE
0,0,4,12,7,FALSE
1,2,5,5,4,FALSE
1,2,5,11,8,TRUE
0,1,5,20,1,FALSE
1,0,5,12,1,TRUE
0,0,4,10,2,TRUE
1,1,5,14,2,TRUE
0,2,3,9,7,FALSE
1,2,4,5,7,FALSE
1,0,4,11,3,FALSE
1,1,5,6,7,TRUE
1,5,4,5,1,TRUE
1,0,4,13,8,FALSE
0,0,4,6,7,FALSE
1,1,5,19,2,FALSE
1,2,4,11,7,FALSE
1,1,4,12,1,FALSE
1,2,4,6,1,FALSE
1,1,5,7,8,FALSE
0,0,4,12,3,TRUE
0,2,4,6,8,FALSE
0,4,4,6,8,FALSE
0,2,4,12,1,FALSE
0,0,5,4,6,FALSE
1,0,5,17,6,FALSE
0,0,2,4,7,FALSE
1,0,4,6,1,TRUE
1,0,4,9,6,TRUE
1,1,5,8,3,FALSE
1,0,5,3,2,FALSE
0,1,2,8,3,TRUE
0,0,5,3,3,FALSE
0,1,4,10,1,TRUE
1,0,5,8,1,FALSE
1,0,5,10,8,FALSE
0,0,5,11,7,TRUE
1,0,5,10,8,TRUE
1,1,2,4,2,FALSE
0,2,4,7,8,FALSE
0,3,4,5,1,TRUE
0,2,4,9,2,TRUE
1,8,4,9,1,TRUE
0,0,4,6,2,TRUE
1,2,5,4,7,FALSE
1,0,5,9,3,FALSE
1,2,3,2,3,FALSE
0,2,4,8,8,FALSE
1,0,4,9,7,FALSE
1,0,4,13,2,FALSE
1,2,4,10,1,TRUE
0,2,5,7,8,FALSE
1,2,4,3,1,FALSE
1,1,5,9,7,FALSE
0,0,2,5,2,FALSE
1,1,3,6,2,FALSE
1,2,5,16,8,TRUE
1,1,2,9,7,FALSE
1,0,4,5,1,FALSE
0,1,4,5,1,TRUE
0,2,5,9,7,TRUE
1,0,4,3,3,FALSE
1,0,4,16,1,TRUE
1,0,5,8,8,FALSE
0,1,4,9,1,TRUE
1,0,4,8,3,TRUE
1,0,4,9,1,FALSE
0,0,4,8,3,FALSE
0,0,2,13,1,TRUE
1,0,4,11,1,FALSE
1,1,5,7,1,TRUE
1,0,3,12,4,FALSE
1,0,4,4,3,FALSE
0,2,4,9,7,FALSE
1,2,4,5,1,FALSE
1,0,4,5,1,TRUE
1,1,5,12,8,FALSE
1,2,4,25,7,FALSE
1,0,3,1,2,FALSE
0,2,4,5,2,FALSE
1,1,4,11,8,FALSE
1,1,4,14,8,FALSE
1,0,4,13,2,TRUE
0,0,4,8,1,FALSE
0,0,5,4,1,FALSE
0,1,4,12,2,FALSE
0,0,4,9,1,FALSE
1,1,5,20,1,FALSE
0,0,5,6,7,FALSE
1,0,5,6,1,FALSE
0,0,4,5,3,FALSE
1,2,4,12,8,FALSE
1,1,5,4,2,FALSE
0,0,4,6,8,FALSE
1,0,4,2,5,TRUE
0,0,4,5,1,TRUE
0,0,5,7,3,TRUE
0,0,4,12,8,FALSE
1,1,5,2,2,FALSE
1,0,4,15,8,FALSE
1,2,3,14,7,TRUE
0,0,4,11,8,TRUE
0,2,4,11,1,TRUE
1,3,4,5,1,FALSE
1,0,3,4,4,FALSE
1,1,4,9,1,FALSE
1,0,3,10,2,TRUE
0,0,4,10,8,FALSE
1,0,5,11,3,TRUE
1,0,4,5,1,FALSE
0,2,3,4,3,FALSE
0,0,4,12,6,TRUE
0,1,4,9,8,TRUE
0,0,1,14,3,FALSE
1,1,5,5,7,FALSE
1,1,5,11,3,FALSE
1,4,5,8,3,FALSE
0,2,4,9,7,TRUE
1,1,4,9,3,FALSE
0,0,4,1,2,TRUE
0,0,4,5,2,FALSE
0,1,4,6,8,TRUE
1,0,5,3,2,FALSE
1,1,4,8,7,FALSE
0,0,3,4,1,TRUE
0,2,4,9,8,FALSE
0,2,4,4,1,TRUE
1,0,4,13,1,TRUE
1,0,4,3,1,FALSE
0,0,3,2,2,FALSE
1,0,4,10,4,FALSE
1,1,5,6,1,FALSE
0,0,4,9,8,TRUE
1,2,5,8,8,FALSE
0,0,5,13,8,TRUE
1,2,4,8,7,FALSE
0,0,5,3,3,TRUE
0,0,5,5,1,FALSE
1,0,2,10,1,FALSE
0,0,4,8,3,FALSE
1,1,5,12,8,TRUE
1,0,4,19,8,FALSE
0,0,4,9,2,TRUE
1,4,5,11,7,TRUE
1,1,4,10,2,TRUE
1,3,4,8,1,TRUE
1,3,4,13,3,FALSE
0,0,5,6,2,FALSE
1,1,5,14,8,FALSE
1,0,4,13,3,FALSE
0,0,4,2,2,FALSE
1,0,4,15,2,FALSE
1,1,4,11,7,FALSE
1,1,5,9,6,FALSE
1,3,2,16,3,TRUE
1,0,5,3,2,TRUE
0,0,4,8,3,FALSE
1,1,5,10,8,TRUE
0,1,2,8,7,TRUE
0,0,4,11,3,FALSE
1,0,5,27,1,TRUE
1,1,5,11,8,FALSE
0,1,4,19,7,TRUE
0,0,4,13,8,FALSE
0,3,5,13,8,FALSE
1,2,2,8,8,FALSE
1,1,5,4,2,FALSE
1,0,4,8,1,FALSE
0,0,4,8,2,FALSE
0,1,5,4,8,FALSE
0,1,3,6,3,FALSE
0,1,5,11,6,FALSE
1,2,2,10,1,FALSE
1,0,4,10,8,FALSE
0,0,3,9,2,TRUE
0,0,2,11,8,TRUE
0,0,3,11,2,FALSE
1,2,4,5,1,FALSE
0,2,5,7,4,FALSE
1,3,4,5,2,TRUE
1,0,5,22,7,TRUE
1,0,5,10,8,TRUE
1,0,5,5,1,FALSE
0,0,2,14,2,FALSE
0,0,2,7,8,FALSE
1,0,4,8,3,FALSE
0,1,2,9,1,FALSE
0,0,5,7,6,FALSE
1,2,4,6,8,TRUE
1,0,4,14,5,FALSE
1,1,4,6,1,FALSE
1,0,4,5,7,FALSE
1,2,4,9,2,FALSE
1,1,5,11,6,FALSE
1,0,1,16,1,TRUE
1,2,5,14,3,TRUE
1,0,4,5,3,FALSE
1,0,4,8,1,FALSE
0,2,4,10,4,TRUE
1,0,4,5,2,FALSE
1,1,4,6,3,TRUE
1,0,4,4,8,FALSE
0,0,4,6,1,FALSE
1,3,2,3,2,FALSE
1,1,4,24,3,TRUE
0,3,5,11,8,TRUE
1,2,4,18,8,FALSE
1,1,5,9,1,FALSE
1,1,4,6,8,FALSE
1,1,4,11,8,FALSE
0,1,4,11,3,FALSE
1,0,4,10,1,TRUE
1,2,3,4,1,FALSE
1,1,4,4,2,FALSE
0,0,5,4,3,FALSE
0,0,4,9,3,FALSE
0,2,2,5,1,FALSE
0,0,4,4,6,FALSE
0,1,2,7,3,FALSE
0,0,2,5,3,FALSE
1,0,2,9,6,TRUE
1,1,5,6,6,FALSE
1,0,5,9,7,TRUE
0,0,4,6,8,FALSE
1,1,5,6,7,FALSE
1,0,4,10,7,TRUE
1,2,2,8,8,FALSE
1,1,4,7,8,TRUE
1,0,5,7,3,FALSE
0,0,5,12,1,FALSE
2,1,5,2,3,TRUE
0,0,2,11,8,TRUE
1,1,4,3,3,FALSE
0,2,4,5,3,TRUE
2,3,5,7,3,TRUE
0,0,2,7,2,TRUE
0,1,4,7,8,TRUE
1,0,4,7,1,TRUE
1,2,5,11,8,FALSE
0,4,5,12,8,FALSE
1,0,4,4,4,FALSE
1,2,5,8,4,FALSE
1,0,4,8,8,FALSE
0,0,5,6,1,TRUE
0,4,2,9,1,FALSE
0,0,4,4,2,TRUE
1,2,4,8,2,TRUE
0,2,4,8,7,FALSE
0,0,5,3,3,FALSE
0,0,4,8,7,FALSE
1,2,4,17,3,TRUE
1,1,4,9,1,FALSE
0,2,4,9,8,TRUE
0,0,4,8,1,TRUE
1,2,4,8,3,FALSE
1,0,4,6,1,FALSE
0,0,3,5,1,TRUE
0,0,4,5,2,FALSE
0,0,4,5,3,FALSE
0,0,3,8,2,TRUE
1,2,4,7,2,FALSE
1,1,4,7,1,TRUE
1,2,2,7,3,FALSE
1,2,5,22,8,FALSE
0,1,5,14,8,FALSE
0,0,2,10,3,TRUE
0,1,3,5,1,TRUE
1,3,4,8,7,FALSE
0,0,4,13,8,FALSE
1,1,4,6,8,FALSE
1,2,4,11,7,FALSE
1,0,4,5,2,TRUE
0,1,2,5,1,TRUE
0,0,4,9,3,FALSE
0,0,4,12,3,FALSE
0,0,5,11,7,TRUE
0,1,4,13,7,FALSE
0,2,5,9,7,FALSE
1,2,4,13,1,FALSE
1,1,3,19,3,TRUE
1,3,5,24,8,TRUE
0,0,4,17,6,FALSE
1,2,5,14,8,FALSE
1,0,4,2,1,TRUE
1,1,4,17,2,FALSE
0,2,2,8,3,FALSE
1,2,4,17,7,TRUE
1,2,3,11,1,FALSE
1,3,4,6,1,FALSE
1,0,5,14,8,TRUE
1,0,5,14,2,TRUE
0,0,4,9,8,FALSE
0,0,3,7,2,TRUE
0,0,3,11,9,FALSE
1,1,4,7,2,FALSE
1,4,4,9,3,FALSE
1,1,4,4,2,FALSE
0,1,3,8,6,FALSE
0,0,2,4,2,TRUE
1,3,5,3,7,TRUE
1,1,4,11,1,TRUE
0,4,4,6,8,FALSE
0,0,4,8,7,FALSE
1,1,4,8,2,FALSE
1,3,4,2,7,FALSE
1,0,2,11,3,FALSE
1,0,2,10,2,TRUE
0,2,5,12,8,TRUE
0,3,4,9,7,FALSE
0,1,4,6,2,FALSE
1,2,5,8,3,FALSE
0,1,4,12,8,FALSE
1,1,4,6,3,TRUE
1,2,3,3,3,FALSE
1,0,4,4,3,FALSE
1,0,5,10,7,FALSE
1,3,5,9,3,FALSE
1,0,4,18,3,FALSE
1,3,2,3,3,FALSE
0,2,2,7,8,FALSE
1,0,4,14,1,TRUE
0,3,2,5,7,FALSE
0,0,4,8,6,TRUE
1,1,4,5,2,FALSE
0,0,4,8,1,FALSE
1,0,5,9,1,FALSE
0,2,4,6,7,FALSE
0,2,4,6,1,TRUE
0,0,4,7,3,TRUE
1,0,5,11,1,FALSE
0,0,4,10,8,TRUE
1,0,2,11,8,FALSE
1,0,4,7,2,FALSE
0,0,4,6,2,FALSE
0,0,4,13,1,FALSE
0,2,3,12,3,FALSE
0,0,4,7,2,FALSE
1,0,4,5,1,FALSE
1,2,4,8,8,FALSE
0,0,2,8,2,FALSE
0,2,4,13,4,FALSE
0,0,4,2,2,TRUE
1,1,5,17,8,FALSE
1,0,4,12,4,FALSE
0,0,4,9,2,FALSE
1,2,4,14,8,TRUE
0,1,3,6,2,FALSE
0,1,4,8,7,FALSE
1,1,5,12,8,FALSE
0,1,4,6,8,FALSE
0,1,4,7,8,FALSE
0,0,4,11,8,FALSE
1,0,3,12,3,FALSE
0,1,4,16,3,TRUE
0,1,4,8,7,FALSE
0,0,2,12,3,TRUE
1,1,2,9,4,FALSE
1,0,4,11,1,TRUE
0,1,3,7,4,FALSE
2,0,4,12,3,FALSE
0,1,5,9,1,TRUE
1,2,4,6,3,FALSE
0,0,4,11,1,FALSE
2,0,5,3,3,FALSE
0,1,4,5,1,FALSE
0,0,4,9,3,TRUE
1,1,4,4,2,FALSE
0,0,2,14,1,TRUE
0,2,2,5,8,FALSE
0,0,4,8,1,FALSE
1,1,2,11,1,TRUE
0,0,3,14,4,TRUE
0,0,5,13,8,FALSE
0,2,4,12,9,TRUE
1,3,5,5,1,FALSE
0,0,4,16,3,FALSE
0,0,4,8,2,FALSE
0,0,3,6,2,FALSE
0,0,4,12,3,TRUE
1,0,5,7,3,FALSE
1,0,4,2,6,TRUE
1,1,5,9,7,FALSE
0,0,5,4,8,FALSE
1,0,4,10,7,FALSE
0,0,5,8,4,FALSE
2,0,4,11,3,FALSE
0,0,3,7,3,TRUE
0,1,4,7,7,FALSE
1,0,4,7,1,FALSE
1,0,3,10,3,FALSE
1,0,2,9,6,FALSE
1,1,4,9,9,FALSE
0,1,4,7,8,FALSE
0,0,4,13,7,TRUE
0,2,5,12,1,FALSE
1,1,2,3,7,FALSE
1,0,2,12,1,TRUE
1,1,4,10,8,TRUE
1,1,4,15,8,TRUE
1,1,4,13,5,TRUE
0,0,3,13,8,FALSE
0,2,4,8,8,TRUE
1,1,5,5,8,TRUE
0,0,3,7,3,FALSE
1,0,5,5,2,TRUE
1,0,2,15,4,FALSE
1,1,2,5,8,FALSE
1,0,5,15,1,TRUE
1,1,2,5,3,TRUE
1,0,5,11,3,TRUE
0,0,4,2,8,FALSE
1,1,4,7,8,FALSE
0,0,4,7,8,FALSE
1,0,2,7,4,TRUE
0,0,4,9,3,TRUE
0,0,3,17,3,FALSE
0,2,4,7,7,FALSE
1,2,5,8,1,TRUE
0,1,2,7,7,TRUE
0,0,4,7,2,FALSE
0,1,2,9,1,TRUE
1,1,4,10,7,FALSE
1,0,4,5,2,TRUE
0,0,4,11,1,FALSE
0,2,3,14,8,TRUE
1,1,3,7,8,FALSE
1,1,3,12,7,FALSE
0,0,3,8,3,TRUE
1,2,4,8,3,TRUE
0,2,2,5,2,TRUE
0,1,5,4,7,FALSE
0,1,2,11,7,FALSE
0,2,5,10,8,FALSE
0,1,4,10,7,FALSE
1,1,4,15,9,FALSE
0,0,2,8,7,FALSE
1,2,4,12,8,TRUE
1,2,4,16,8,FALSE
0,0,4,12,2,TRUE
